proposition_uid,text,speech_acts,has_roles,debate_role,question,question_type,exclusivity,polarity,key_point,notes
prop:00107689afab20c8a7d3,SpaceX still faces difficult engineering challenges in keeping the vehicle undamaged and ready for rapid relaunch.,assertion,conclusion,premise,What challenges does SpaceX face for rapid relaunch?,factual,unknown,NONE,,
prop:00123db1c47b8fb9ecfd,"If McConnell cannot respond because of incapacity or another condition, his Senate staff should be honest and transparent with Kentuckians.",prescription,conclusion,thesis,What should McConnell's staff do if he is incapacitated?,policy,exclusive,FAVOR,Staff should be honest and transparent,
prop:00264d648b4d0839a0c1,Trump and Altman may move ahead with their respective visions.,prediction,prediction,thesis,Will Trump and Altman proceed with their visions?,factual,unknown,NONE,,
prop:0028a06e4268a06a1a7e,Consumers should not eat the recalled berries and should discard them or return them to the place of purchase.,prescription,conclusion,thesis,What should consumers do with recalled berries?,policy,exclusive,FAVOR,Consumers should discard recalled berries,
prop:00450ef7ebeee2b98391,Growth in data center construction has been remarkable.,judgment,premise,premise,What is the trend in data center construction?,factual,unknown,NONE,,
prop:0065e5772c4a8c3b7ff0,Kentucky’s Democratic governor demanded that the veteran Republican lawmaker prove his fitness for office.,prescription,premise,thesis,What should the veteran Republican lawmaker prove?,policy,exclusive,FAVOR,Prove fitness for office,
prop:00716ce8fb959bd3b0c4,"Truth API provides a direct, licensed, real-time feed of the platform’s most market-moving posts.",assertion,conclusion,premise,What does Truth API provide?,factual,unknown,NONE,,
prop:0084fa333792736353fa,The president's approach is rather erratic.,judgment,,background,none,,,,,
prop:00901dddd73b08b111df,"Foreign-born nurses alleged that Avant recruited them with misleading promises, underpaid them, trapped them in restrictive contracts, threatened to report them to immigration authorities, and demanded large fees when they tried to leave.",allegation,premise,premise,What allegations were made against Avant?,factual,unknown,NONE,,
prop:009c9a0fa50e4a8ff73c,Beth Farinacci said second-degree murder would have been a more appropriate resolution than manslaughter.,judgment,conclusion,thesis,What resolution did Beth Farinacci suggest?,policy,exclusive,FAVOR,Second-degree murder is more appropriate,
prop:00a276de38bc4959537a,People should vote for Mike Rogers.,prescription,conclusion,thesis,Should voters elect Mike Rogers?,policy,exclusive,FAVOR,Elect Mike Rogers,cleanup: tightened question
prop:00ae07937b73b437b576,"After a poor start, Trump and Lindsey Graham became great friends, and Graham continued calling Trump for the next ten years.",assertion,conclusion,premise,What was the relationship between Trump and Lindsey Graham?,factual,unknown,NONE,,
prop:00ae5f513e72c2fad2fa,The report is appalling and reflects cruelty at the center of the Trump immigration agenda.,judgment,value,thesis,What does the report reflect about Trump's immigration agenda?,policy,exclusive,AGAINST,Reflects cruelty at the center,
prop:00bc58ab66d2b21d9a8f,The matter could continue for a very long time.,prediction,prediction,background,none,,,,,cleanup: empty duration prediction
prop:00d11a600aa39cb3a661,Recent polls increasingly indicate that Democrats have put enough of those states into contention.,assertion,conclusion,premise,What do recent polls indicate about Democrats?,factual,unknown,NONE,,
prop:00f1b09af1c08ddaf93a,Paidwork says it has no confirmed evidence that its systems or accounts were compromised.,assertion,objection,premise,Is there evidence of compromised systems?,factual,unknown,DENIES,,
prop:00f3b5671edd5cf4ce40,Steven Cheung said Leavitt had been the best teammate.,judgment,,background,none,,,,,
prop:01052a2fb80d9775d1ab,Those organizations expect to control the next U.S. senator.,allegation,premise,premise,Who will control the next U.S. senator?,factual,unknown,NONE,,
prop:010fb5275630420e9c22,"Large buildouts are difficult to time correctly, and excessive excitement can lead to too much debt and investments failing.",judgment,conclusion,thesis,Are large buildouts difficult to time correctly?,factual,unknown,FAVOR,Timing large buildouts is challenging.,
prop:0128c086310c2f753a84,Federato Claims connects events within each claim to the decisions that shape the insurance book.,assertion,conclusion,background,none,,,,,cleanup: product/capability blurb
prop:0137f3099265efe61f2c,Ukraine is dismantling Russian logistics hubs one at a time.,judgment,premise,premise,Is Ukraine dismantling Russian logistics hubs?,factual,unknown,AFFIRMS,,
